name,hebrew_name,yahrzeit_hebrew,yahrzeit_month,year_passed,notes,category
"Rabbi Shlomo Luria (Maharshal)","רבי שלמה לוריא","7 Kislev","# KISLEV",1573,"Commentator","other"
"Abaye","אביי","20 Kislev","# KISLEV",,"Amora","other"
"Reb Noson of Breslov","רבי נתן מברסלב","10 Tevet","# TEVET",1844,"Chief disciple of Rebbe Nachman","breslov"
"Rambam (Maimonides)","רמב"ם","20 Tevet","# TEVET",1204,"Philosopher, author of Mishneh Torah","rishonim"
"Rabbi Alter of Teplik","רבי אלטר מטעפליק","25 Tevet","# TEVET",1919,"Early Breslov leader","other"
"King David","דוד המלך","6 Shvat","# SHEVAT",,"Author of Psalms","biblical"
"Taz (Rabbi David HaLevi Segal)","ט"ז","26 Shevat","# SHEVAT",1667,"Commentator","biblical"
"Rabbi Shalom Sharabi (Rashash)","רבי שלום שרעבי","10 Shevat","# SHEVAT",1777,"Kabbalist","other"
"Leah","לאה","7 Adar","# ADAR",,"Third Matriarch","other"
"Moses","משה","7 Adar","# ADAR",,"Lawgiver","biblical"
"Rav Ashi","רב אשי","13 Adar","# ADAR",,"Compiled Talmud","other"
"Shach (Rabbi Shabtai HaKohen)","ש"ך","1 Adar","# ADAR",1663,"Commentator","other"
"Rabbi Moshe Feinstein","רבי משה פיינשטיין","13 Adar II","# ADAR",1986,"Halachic authority, met Saba","other"
"Rabbi Chaim Yosef David Azulai (Chida)","רבי חיים יוסף דוד אזולאי","11 Adar","# ADAR",1806,"Scholar","biblical"
"Rabbi Gershon Kitover","רבי גרשון קיטובר","25 Adar","# ADAR",1761,"Brother-in-law of Baal Shem Tov","other"
"Miriam","מרים","10 Nisan","# NISAN",,"Prophetess","other"
"Joshua","יהושע","26 Nisan","# NISAN",,"Successor of Moses","other"
"Ramban (Nachmanides)","רמב"ן","11 Nisan","# NISAN",1270,"Commentator","rishonim"
"Rabbi Chaim Vital","רבי חיים ויטאל","30 Nisan","# NISAN",1620,"Disciple of Arizal","other"
"Rabbi Yosef Karo","רבי יוסף קארו","13 Nisan","# NISAN",1575,"Author of Shulchan Aruch","other"
"Samuel","שמואל","28 Iyar","# IYAR",,"Prophet","other"
"Rabbi Shimon bar Yochai","רבי שמעון בר יוחאי","18 Iyar","# IYAR",,"Author of Zohar, Lag B'Omer","talmudic"
"Rabbi Meir Baal HaNes","רבי מאיר בעל הנס","14 Iyar","# IYAR",,"Miracle worker","talmudic"
"Shmuel (Amora)","שמואל","23 Iyar","# IYAR",,"Astronomer","other"
"Rabbi Nachman of Horodenka","רבי נחמן מהורודנקה","10 Iyar","# IYAR",1765,"Hasidic rebbe","breslov"
"Rabbi Yaakov Reischer","רבי יעקב ריישאר","21 Iyar","# IYAR",1733,"Author","other"
"Rabbi Moshe Isserles (Rema)","רבי משה איסרליש","18 Iyar","# IYAR",1572,"Commentator","other"
"Elisha","אלישע","14 Sivan","# SIVAN",,"Prophet","other"
"Baal Shem Tov (Rabbi Yisrael ben Eliezer)","בעל שם טוב","6 Sivan","# SIVAN",1760,"Founder of Hasidism","chassidic"
"Rabbeinu Tam (Rabbi Yaakov ben Meir)","רבינו תם","4 Tamuz","Tamuz",4931,"Grandson of Rashi; yahrzeit corrected to 4 Tamuz","rishonim"
"Rabbi Chaim of Volozhin","רבי חיים מוולוז'ין","14 Sivan","# SIVAN",1821,"Student of Gra","lithuanian"
"Jeremiah","ירמיהו","7 Tammuz","# TAMMUZ",,"Prophet","other"
"Rashi (Rabbi Shlomo Yitzchaki)","רש"י","29 Tammuz","# TAMMUZ",1105,"Commentator","rishonim"
"Ramak (Rabbi Moshe Cordovero)","רמ"ק","23 Tammuz","# TAMMUZ",1570,"Kabbalist","other"
"Aaron","אהרון","1 Av","# AV",,"First High Priest","other"
"Elijah the Prophet","אליהו הנביא","28 Av","# AV",,"Ascended to heaven","other"
"Arizal (Rabbi Isaac Luria)","אריז"ל","5 Av","# AV",1572,"Founder of Lurianic Kabbalah","other"
"Rabbi Chaim ibn Attar (Or HaChaim)","רבי חיים בן עטר","15 Tammuz","# AV",1743,"Kabbalist","other"
"Ezekiel","יחזקאל","1 Elul","# ELUL",,"Prophet","other"
"Maharal of Prague (Rabbi Yehuda Loew)","מהר"ל מפראג","18 Elul","# ELUL",1609,"Golem creator","talmudic"
"Rabbi Avraham Sternhartz","רבי אברהם שטרנהרץ","20 Elul","# ELUL",1955,"Breslov teacher","other"
"Rabbi Pinchas of Koretz","רבי פנחס מקוריץ","10 Elul","# ELUL",1791,"Disciple of Baal Shem Tov","other"
"Rabbi Yosef Chaim of Baghdad (Ben Ish Chai)","רבי יוסף חיים מבגדאד","13 Elul","# ELUL",1909,"Sephardic leader","sephardic"
"Rabbi Naftali of Nemirov","רבי נפתלי מנמירוב","Unknown","# ELUL",,"Disciple of Rebbe Nachman","other"
"Rabbi Yudel of Dashev","רבי יודל מדאשיב","Unknown","# ELUL",,"Disciple of Rebbe Nachman","other"
"Rabbi Shmuel Isaac of Dashev","רבי שמואל יצחק מדאשיב","Unknown","# ELUL",,"Disciple of Rebbe Nachman","other"
"Rabbi Yitzchok of Tulchin","רבי יצחק מטולטשין","Unknown","# ELUL",,"Disciple of Rebbe Nachman","other"
"Rabbi Aharon of Breslov","רבי אהרון מברסלב","Unknown","# ELUL",,"Disciple of Rebbe Nachman","breslov"
"Rabbi Chaim of Krasna","רבי חיים מקראסנא","Unknown","# ELUL",,"Disciple of Rebbe Nachman","other"
"Rabbi Ze'ev Wolf of Zhitomir","רבי זאב וואלף מז'יטומיר","Unknown","# ELUL",,"Disciple of Rebbe Nachman","other"
"Rabbi Yisrael Karduner","רבי ישראל קרדונר","Unknown","# ELUL",,"Disciple of Rebbe Nachman","other"
"Samuel the Prophet","שמואל הנביא","28 Iyyar","Iyyar",2882,"שמואל הנביא — ב׳ אלפים תתפ״ב, buried in Jerusalem","biblical"
"Rav Yitzchak of Corbeil (Baal HaSemak)","רבי יצחק מקורביל בעל הסמ״ק","28 Iyyar","Iyyar",5011,"Author of Sefer Mitzvot Katan (Semak) — ה׳ אלפים י״א","rishonim"
